Product_ID,Product_Name,Category,Sub_Category,Brand,Color,Size,Material,Price,Cost,Season,Launch_Date,_internal_id,temp_field,notes,Unnamed: 0
P0393,TrendWear Black Leggings,ACTIVEWEAR,Leggings,TrendWear,Black,L,Denim,43.85,20.51,Spring/Summer 2024,2024-02-20,393,,check this,392
P0165,ModaVibe White Sweater  ,Tops,Sweater,ModaVibe,White,M,Silk,36.12,13.18,Fall/Winter 2023,26-Sep-2023,165,,,164
P0606,UrbanChic Navy Belt,Accessories,Belt,UrbanChic,Navy,L,Blend,34.29,15.55,Spring/Summer 2024,10-Feb-2024,606,,,605
P0755,	TrendWear Gray Scarf,Accessories,Scarf,TrendWear,Gray,M,Wool,35.3,12.78,Fall/Winter 2024,2024-09-29,755,,pending,754
P0251,ModaVibe Neon Pink Maxi Dress,Dresses,Maxi Dress,ModaVibe,Neon Pink,M,Silk,68.9,27.95,Fall/Winter 2023,2023-09-13,251,,check this,250
P0400,ModaVibe Green Scarf,Accessories,Scarf,ModaVibe,Green,Sml,Blend,34.94,13.21,Spring/Summer 2023,2023-03-24,400,,,399
P0267,TrendWear Orange Coat,OUTERWEAR,Coat,TrendWear,Orange,L,Cotton,136.72,48.7,Spring/Summer 2024,2024-03-25,267,,,266
P0527,TrendWear Blue Jeans,Bottoms,Jeans,TrendWear,Blue,S,Blend,81.37,33.89,Fall/Winter 2023,2023-08-20,527,,,526
P0058,TrendWear Beige Midi Dress,Dresses,  Midi Dress ,TrendWear,Beige,S,Polyester,90.85,43.5,Spring/Summer 2023,25-Feb-2023,58,,check this,57
P0284,UrbanChic Black Skirt,Bottoms,Skirt,UrbanChic,Black,L,Blend,55.79,24.69,Spring/Summer 2024,2024-02-11,284,,ok,283
P0139,TrendWear Gray Cardigan,Outerwear,Cardigan,TrendWear,Gray,S,N/A,76.09,37.65,Fall/Winter 2024,2024-08-03,139,,,138
P0709,StyleCo Pink Bag,Accessories,Bag,StyleCo,Pink,M,Denim,24.19,9.78,Fall/Winter 2024,2024-09-17,709,,,708
P0315,StyleCo Yellow Blazer,Outerwear,Blazer,StyleCo,Yellow,Sml,Polyester,113.21,43.34,Spring/Summer 2024,2024-02-24,315,,,314
P0118,ClassicMode Red Belt,Accessories,Belt,ClassicMode,Red,S,Blend,22.0,8.19,Spring/Summer 2023,2023-03-07,118,,,117
P0230,StyleCo Green Blouse,Tops,Blouse,StyleCo,Green,S,Polyester,47.73,21.69,Spring/Summer 2024,2024-03-30,803,,,802
P0135,ModaVibe Yellow Shorts,Bottoms,Shorts,ModaVibe,Yellow,S,Denim,38.61,17.72,Spring/Summer 2024,2024-03-24,135,,pending,134
P0314,TrendWear Navy Shorts,Bottoms,Shorts,TrendWear,Navy,M,Wool,60.61,29.35,Fall/Winter 2024,2024-09-13,314,,ok,313
P0426,"StyleCo White Maxi Dress
",Dresses,Maxi Dress,styleco,White,XXL,Silk,51.96,24.87,Fall/Winter 2024,2024-08-02,426,,,425
P0157,ModaVibe Neon Green Midi Dress,DRESSES,Midi Dress,ModaVibe,Neon Green,XS,Silk,54.06,26.33,Spring/Summer 2024,2024-03-25,157,,pending,156
P0374,"UrbanChic Purple Maxi Dress
",Dresses,Maxi Dress,UrbanChic,Purple,XXL,Denim,86.02,39.46,Fall/Winter 2024,2024-08-25,374,,ok,373
P0079,UrbanChic Green Midi Dress,Dresses,Midi Dress,UrbanChic,Green,S,Polyester,53.34,21.73,Spring/Summer 2023,2023-02-09,79,,check this,78
P0092,ClassicMode Beige Bag,Accessories,Bag,ClassicMode,Beige,M,Polyester,29.34,13.92,Fall/Winter 2023,05-Aug-2023,92,,,91
P0006,ClassicMode Navy Maxi Dress,DRESSES,Maxi Dress,classicmode,Navy,M,Cotton,89.57,39.46,Spring/Summer 2023,2023/02/23,6,,,5
P0091,TrendWear Brown Leggings,Activewear,Leggings,TrendWear,,XL,Denim,52.33,25.61,Spring/Summer 2024,2024-02-07,91,,,90
P0630,ModaVibe Green Midi Dress,Dresses,Midi Dress,ModaVibe,Green,XXL,Silk,85.29,35.45,Spring/Summer 2023,2023-02-19,630,,,629
P0132,StyleCo Navy Hoodie,Activewear,Hoodie,StyleCo,Navy,XL,Wool,65.08,25.63,Fall/Winter 2023,2023-09-01,132,,check this,131
P0469,TrendWear Beige Jacket,Outerwear,Jacket,TrendWear,Beige,L,Cotton,100.67,39.98,Spring/Summer 2023,11-Feb-2023,469,,,468
P0624,  TrendWear Brown Coat,Outerwear,Coat,TrendWear,Brown,S,,74.4,32.04,Fall/Winter 2024,2024-09-23,624,,pending,623
P0319,ModaVibe Gray Blouse  ,Tops,Blouse,ModaVibe,Gray,M,Cotton,33.69,14.42,Fall/Winter 2023,08/11/2023,319,,ok,318
P0447,TrendWear Black Maxi Dress,Dresses,Maxi Dress,TrendWear,Black,S,Unknown,68.09,28.46,Spring/Summer 2023,2023-04-01,447,,,446
P0592,ClassicMode Brown Hat,Accessories,Hat,classicmode,Brown,S,Blend,32.69,12.53,Spring/Summer 2023,2023-02-07,592,,,591
P0036,ClassicMode Gray Maxi Dress,Dresses,Maxi Dress,ClassicMode,Gray,L,Cotton,79.41,34.23,Spring/Summer 2023,04-Feb-2023,36,,,35
P0422,ClassicMode Black Pants,Bottoms,Pants,ClassicMode,Black,XS,Wool,38.61,18.0,Spring/Summer 2024,2024-03-09,422,,ok,421
P0273,TrendWear Gray Shorts,Bottoms,Shorts,trendwear,Gray,Xs,Unknown,50.27,19.46,Fall/Winter 2024,2024-08-08,273,,pending,272
P0042,ClassicMode White Mini Dress,Dresses,Mini Dress,ClassicMode,White,m,Denim,91.79,35.52,Spring/Summer 2023,2023-04-02,42,,check this,41
P0734,ClassicMode Neon Green Tank Top,Tops,Tank Top,ClassicMode,Neon Green,s,Polyester,26.75,12.37,Spring/Summer 2023,2023-02-22,734,,,733
P0431,ModaVibe Black Blouse,Tops,Blouse,ModaVibe,NA,M,Cotton,24.73,9.93,Fall/Winter 2024,2024-08-01,431,,,430
P0741,ModaVibe Blue Blazer,Outerwear,Blazer,ModaVibe,Blue,XS,Cotton,126.47,44.43,Spring/Summer 2023,2023-02-26,741,,check this,740
P0729,"UrbanChic Neon Pink Blazer
",Outerwear,Blazer,UrbanChic,Neon Pink,XL,Polyester,80.79,29.11,Spring/Summer 2024,02/27/2024,729,,ok,728
P0430,	StyleCo Black Sweater,Tops,Sweater,StyleCo,Black,XS,Denim,30.48,11.02,Spring/Summer 2023,2023-02-01,430,,check this,429
P0525,ClassicMode Purple Jacket,OUTERWEAR,  Jacket ,ClassicMode,Purple,S,Blend,84.56,39.06,Spring/Summer 2024,2024-03-16,525,,pending,524
P0179,ModaVibe Neon Pink Hoodie,Activewear,  Hoodie ,ModaVibe,Neon Pink,L,Wool,49.7,20.6,Spring/Summer 2024,2024-03-01,179,,,178
P0638,UrbanChic Mustard Bag,Accessories,Bag,UrbanChic,Mustard,Med,Blend,30.198533206785434,11.91,Spring/Summer 2024,2024-02-09,810,,ok,809
P0602,TrendWear Navy Blouse,Tops,Blouse,TrendWear,Navy,L,Wool,34.17,15.41,Spring/Summer 2024,2024-03-15,602,,,601
P0579,TrendWear Purple Maxi Dress,Dresses,Maxi Dress,TrendWear,Purple,M,None,89.41,32.68,Spring/Summer 2023,02-Apr-2023,579,,pending,578
P0451,UrbanChic Blue Scarf,Accessories,  Scarf ,UrbanChic,Blue,M,Denim,27.98,10.9,Fall/Winter 2024,18-Aug-2024,451,,pending,450
P0075,"StyleCo Navy Mini Dress
",Dresses,Mini Dress,StyleCo,Navy,s,Denim,87.17,39.24,Fall/Winter 2024,2024-08-09,75,,pending,74
P0428,TrendWear Blue Blazer,Outerwear,Blazer,TrendWear,Blue,XS,Blend,116.25,45.05,Spring/Summer 2024,2024-02-06,428,,,427
P0250,StyleCo Orange Skirt,Bottoms,Skirt,StyleCo,Orange,M,Denim,66.89,27.05,Fall/Winter 2023,2023-09-19,250,,,249
P0339,ClassicMode Orange Coat,Outerwear,Coat,ClassicMode,Orange,S,Silk,81.95,36.63,Fall/Winter 2023,17-Aug-2023,339,,ok,338
P0227,TrendWear Purple Scarf,Accessories,Scarf,TrendWear,Purple,L,Cotton,24.49,8.67,Fall/Winter 2024,26-Sep-2024,227,,ok,226
P0749,ClassicMode Beige Hat,Accessories,Hat,ClassicMode,Beige,XS,Polyester,30.26,12.31,Spring/Summer 2023,2023-03-22,749,,,748
P0658,ClassicMode Navy Hoodie,Activewear,Hoodie,ClassicMode,Navy,M,Cotton,37.3,17.72,Fall/Winter 2023,2023-09-07,658,,,657
P0698,ClassicMode White Hat,Accessories,Hat,ClassicMode,White,M,Polyester,35.82,14.04,Fall/Winter 2023,2023-09-18,698,,,697
P0457,ModaVibe White Maxi Dress,Dresses,Maxi Dress,ModaVibe,White,XXL,Polyester,71.61,34.75,Spring/Summer 2024,2024-02-08,457,,check this,456
P0012,ModaVibe Neon Green Hat,Accessories,Hat,ModaVibe,Neon Green,L,Cotton,23.99,11.16,Fall/Winter 2023,2023-09-13,12,,check this,11
P0645,ModaVibe Red Jeans,Bottoms,Jeans,modavibe,Red,L,Denim,64.46,31.32,Fall/Winter 2024,2024-09-19,645,,check this,644
P0500,UrbanChic Gray Jeans,Bottoms,Jeans,UrbanChic,Gray,XL,Silk,43.25,15.15,Spring/Summer 2024,2024-03-22,500,,ok,499
P0731,UrbanChic Orange Blouse,Tops,Blouse,UrbanChic,Orange,L,Polyester,25.89,11.14,Spring/Summer 2023,02/10/2023,731,,pending,730
P0654,ClassicMode Black Tank,Activewear,Tank,ClassicMode,Black,M,Blend,46.11,21.79,Fall/Winter 2023,2023-09-03,654,,pending,653
P0307,ClassicMode Black Tank,Activewear,Tank,ClassicMode,Blak,XL,Silk,65.29,31.19,Fall/Winter 2024,2024-09-26,307,,ok,306
P0417,UrbanChic Red Hat,ACCESSORIES,Hat,urbanchic,Red,L,Wool,34.66,17.25,Spring/Summer 2024,2024-04-01,417,,check this,416
P0686,UrbanChic Beige Blazer,Outerwear,Blazer,UrbanChic,Beige,M,Silk,112.58,42.69,Spring/Summer 2024,2024-02-15,686,,,685
P0317,ModaVibe Blue Bag,Accessories,Bag,ModaVibe,Blue,M,Cotton,22.45,10.4,Fall/Winter 2023,2023-09-18,317,,,316
P0300,StyleCo Black Belt,ACCESSORIES,Belt,StyleCo,Black,XS,Blend,22.16,8.09,Fall/Winter 2023,2023-09-10,300,,,299
P0210,ClassicMode Black Jacket,OUTERWEAR,Jacket,ClassicMode,Black,S,Cotton,112.48,47.83,Fall/Winter 2023,2023-08-21,210,,,209
P0173,ModaVibe Brown Blouse,Tops,Blouse,modavibe,Brown,XXL,Wool,29.38,10.51,Spring/Summer 2024,2024-02-02,173,,pending,172
P0262,StyleCo White Tank Top,Tops,Tank Top,StyleCo,White,XL,Denim,43.54,17.49,Fall/Winter 2024,2024-08-30,262,,,261
P0148,ClassicMode Gray Belt,Accessories,  Belt ,ClassicMode,Gray,M,Blend,26.72,10.37,Fall/Winter 2023,2023-08-15,148,,,147
P0555,TrendWear Beige Hat  ,Accessories,Hat,trendwear,Beige,XXL,Blend,24.15,12.03,Spring/Summer 2023,2023-03-04,555,,,554
P0550,UrbanChic Brown Sports Bra,Activewear,Sports Bra,UrbanChic,Brown,L,--,44.29,20.45,Spring/Summer 2023,2023-02-15,550,,,549
P0172,TrendWear Black Hat,Accessories,Hat,TrendWear,Black,XS,Blend,34.83,12.88,Spring/Summer 2023,2023-03-15,172,,pending,171
P0014,TrendWear Black Tank Top,Tops,Tank Top,TrendWear,Black,M,Polyester,49.27,22.0,Fall/Winter 2024,2024-08-26,14,,,13
P0448,UrbanChic Purple Jeans,Bottoms,  Jeans ,UrbanChic,Purple,L,Cotton,39.06,14.47,Fall/Winter 2023,2023-08-08,448,,check this,447
P0146,UrbanChic Black Blazer,OUTERWEAR,Blazer,UrbanChic,Black,L,na,77.56,33.33,Spring/Summer 2024,28-Feb-2024,146,,check this,145
P0730,StyleCo Brown Tank,Activewear,Tank,StyleCo,Brown,l,Silk,47.8,21.75,Fall/Winter 2024,2024-09-09,730,,ok,729
P0626,StyleCo Blue Jeans,Bottoms,Jeans,styleco,Blue,M,Polyester,49.58,17.88,Fall/Winter 2023,2023-09-20,626,,pending,625
P0762,UrbanChic Black Midi Dress,DRESSES,Midi Dress,UrbanChic,Black,S,Silk,64.83,30.12,Spring/Summer 2024,2024-03-26,762,,,761
P0551,UrbanChic Navy Cocktail Dress,DRESSES,Cocktail Dress,UrbanChic,Navy,S,Cotton,75.95,31.87,Spring/Summer 2024,2024/02/17,551,,ok,550
P0055,TrendWear Blue Blazer,Outerwear,Blazer,TrendWear,Blue,XS,Silk,74.31,34.7,Fall/Winter 2023,2023-09-12,55,,pending,54
P0270,UrbanChic Beige Bag,Accessories,Bag,UrbanChic,Beige,S,Silk,31.27,11.69,Fall/Winter 2024,2024-08-05,270,,,269
P0635,	ModaVibe Black Hoodie,Activewear,Hoodie,ModaVibe,Black,L,Blend,38.12,16.87,Fall/Winter 2023,2023-08-11,635,,,634
P0567,TrendWear Blue Bag  ,Accessories,Bag,TrendWear,Blue,XXL,Silk,31.21,10.97,Fall/Winter 2023,2023-09-14,567,,,566
P0524,UrbanChic Blue Skirt,Bottoms,Skirt,UrbanChic,Blue,S,Silk,65.7,29.7,Fall/Winter 2024,2024-08-10,524,,,523
P0098,UrbanChic Yellow Maxi Dress,Dresses,Maxi Dress,UrbanChic,Yellow,M,Wool,84.52,36.81,Fall/Winter 2024,2024-08-16,98,,pending,97
P0652,ModaVibe Mustard Jacket,Outerwear,Jacket,ModaVibe,Mustard,XL,Denim,122.89,53.68,Spring/Summer 2024,2024-03-25,652,,check this,651
P0765,ModaVibe Beige Midi Dress,Dresses,Midi Dress,ModaVibe,Beige,XS,Cotton,52.52,25.4,Spring/Summer 2023,2023-03-06,765,,ok,764
P0044,TrendWear Gray Shorts,Bottoms,Shorts,TrendWear,Gry,S,Wool,50.19,18.55,Spring/Summer 2024,2024/02/16,44,,,43
P0539,ModaVibe Pink Tank Top,Tops,Tank Top,ModaVibe,Pink,XX-L,Silk,51.58,23.03,Spring/Summer 2024,03/17/2024,539,,,538
P0171,ModaVibe Gray Skirt,Bottoms,Skirt,ModaVibe,Gray,Xl,Polyester,76.27,28.35,Spring/Summer 2023,2023-02-18,171,,check this,170
P0543,UrbanChic Blue Midi Dress,Dresses,Midi Dress,UrbanChic,Blue,Xs,Blend,82.48,39.91,Spring/Summer 2024,2024/03/13,543,,pending,542
P0753,StyleCo Gray Skirt,Bottoms,Skirt,StyleCo,Gray,S,Denim,59.86,21.84,Fall/Winter 2023,2023-08-07,753,,,752
P0247,TrendWear Gray Sweater,Tops,Sweater,TrendWear,Gray,M,Blend,37.02,16.99,Fall/Winter 2024,2024-08-23,247,,ok,246
P0703,TrendWear Orange Hat,Accessories,Hat,TrendWear,Orange,S,Blend,21.71,9.88,Fall/Winter 2024,2024-08-28,703,,,702
P0103,TrendWear Navy Pants,Bottoms,Pants,TrendWear,Navy,L,Denim,64.09,26.98,Spring/Summer 2024,2024-03-14,103,,ok,102
P0189,UrbanChic Blue Tank Top,Tops,Tank Top,UrbanChic,Blue,M,Silk,48.86,21.25,Spring/Summer 2023,2023-02-12,189,,ok,188
P0444,"ClassicMode Blue Pants
",Bottoms,Pants,ClassicMode,NA,l,Blend,62.11,27.48,Spring/Summer 2023,2023-03-13,444,,check this,443
P0769,ModaVibe Gray Bag,Accessories,  Bag ,ModaVibe,Gray,XS,Silk,19.04,7.59,Fall/Winter 2023,2023-09-16,769,,ok,768
P0108,UrbanChic Pink Coat,Outerwear,Coat,UrbanChic,Pnik,S,Polyester,108.56,49.35,Spring/Summer 2023,2023-02-04,108,,check this,107
P0203,	ModaVibe Navy Maxi Dress,DRESSES,Maxi Dress,modavibe,Navy,M,Blend,72.02,34.99,Spring/Summer 2023,2023-03-06,203,,,202
P0416,ModaVibe Black Shorts,Bottoms,Shorts,ModaVibe,Black,XS,Wool,62.21,24.79,Spring/Summer 2024,2024-03-10,416,,,415
P0572,ModaVibe Black Jeans,Bottoms,Jeans,modavibe,Black,XXL,Cotton,80.28,37.49,Fall/Winter 2024,2024-08-10,802,,,801
P0761,ModaVibe Navy Sweater,Tops,Sweater,ModaVibe,Navy,M,Silk,28.93,14.46,Spring/Summer 2024,2024-03-14,761,,,760
P0201,StyleCo Navy Midi Dress,Dresses,Midi Dress,StyleCo,Navy,S,Silk,51.0,21.18,Fall/Winter 2024,2024-09-24,201,,,200
P0651,ClassicMode White Cocktail Dress,DRESSES,Cocktail Dress,ClassicMode,none,Meduim,Blend,47.91,23.82,Fall/Winter 2024,2024-09-26,651,,check this,650
P0585,TrendWear White Cocktail Dress,Dresses,Cocktail Dress,trendwear,White,XXL,Blend,71.07,27.44,Spring/Summer 2023,2023-03-21,585,,check this,584
P0754,ClassicMode Brown Sweater,Tops,  Sweater ,ClassicMode,Brown,Medium,Cotton,34.76,15.33,Spring/Summer 2024,2024-02-04,754,,,753
P0566,"StyleCo Black Maxi Dress
",Dresses,Maxi Dress,StyleCo,Black,S,Blend,68.6,25.28,Spring/Summer 2023,2023-02-27,566,,check this,565
P0747,ModaVibe White Midi Dress,Dresses,Midi Dress,modavibe,White,L,Blend,74.97,32.35,Fall/Winter 2024,2024-08-13,747,,pending,746
P0403,ModaVibe Gray Cardigan,Outerwear,Cardigan,ModaVibe,Gray,S,Denim,117.69,55.33,Fall/Winter 2023,2023-09-22,403,,pending,402
P0704,ClassicMode Black Hat,Accessories,  Hat ,ClassicMode,Black,S,Denim,21.1,7.8,Spring/Summer 2024,2024-02-29,704,,ok,703
P0454,	TrendWear Orange Jeans,Bottoms,Jeans,TrendWear,Orange,S,Cotton,76.28,26.84,Spring/Summer 2023,2023-02-03,454,,pending,453
P0281,ModaVibe Pink Midi Dress,Dresses,  Midi Dress ,ModaVibe,Pink,Sml,Blend,96.2,39.35,Spring/Summer 2023,2023-02-09,281,,ok,280
P0564,ModaVibe White Leggings,Activewear,Leggings,modavibe,White,M,Cotton,44.7,20.01,Fall/Winter 2023,2023-08-08,564,,,563
P0382,UrbanChic White Skirt,Bottoms,Skirt,UrbanChic,White,Xl,Cotton,74.43,30.44,Fall/Winter 2024,2024-08-18,382,,pending,381
P0274,UrbanChic Brown T-Shirt,Tops,T-Shirt,UrbanChic,Brown,XS,Polyester,41.73,16.16,Fall/Winter 2024,2024-09-25,811,,ok,810
P0779,TrendWear Gray Mini Dress,Dresses,Mini Dress,TrendWear,Gray,Meduim,Denim,85.89,34.23,Spring/Summer 2023,2023-02-18,779,,ok,778
P0333,ModaVibe Black Hat,Accessories,Hat,ModaVibe,Black,XXL,Wool,23.54,8.74,Spring/Summer 2024,2024-02-16,333,,check this,332
P0080,StyleCo Red Mini Dress,Dresses,  Mini Dress ,StyleCo,Red,S,Cotton,62.71,26.33,Fall/Winter 2024,2024-08-27,80,,,79
P0167,StyleCo Mustard Hat,Accessories,Hat,styleco,Mustard,L,Cotton,35.53,15.87,Spring/Summer 2024,2024-03-06,167,,ok,166
P0756,UrbanChic Blue Jacket,OUTERWEAR,Jacket,UrbanChic,Blue,L,Denim,94.55,43.14,Fall/Winter 2024,2024-09-22,756,,check this,755
P0240,UrbanChic Black Scarf,Accessories,Scarf,UrbanChic,Black,L,Blend,33.32,16.09,Fall/Winter 2023,2023-08-03,240,,,239
P0051,	StyleCo White Hat,Accessories,Hat,StyleCo,White,S,Cotton,25.97,10.17,Spring/Summer 2023,03/13/2023,51,,check this,50
P0008,ModaVibe Navy Midi Dress,Dresses,Midi Dress,ModaVibe,Navy,M,Blend,49.12,22.06,Fall/Winter 2023,15-Sep-2023,8,,,7
P0237,UrbanChic Pink T-Shirt,Tops,T-Shirt,UrbanChic,Pink,L,Cotton,31.25,14.02,Spring/Summer 2023,2023-02-23,237,,check this,236
P0275,ModaVibe Gray Tank Top,Tops,Tank Top,ModaVibe,Gray,M,NULL,45.87,19.48,Spring/Summer 2024,13-Feb-2024,275,,,274
P0675,ModaVibe Black Bag,ACCESSORIES,Bag,ModaVibe,Black,M,Blend,24.9,10.79,Fall/Winter 2024,12-Aug-2024,675,,,674
P0151,StyleCo Blue Hoodie,Activewear,Hoodie,StyleCo,Blue,M,Wool,52.09,22.72,Fall/Winter 2023,2023-08-25,151,,ok,150
P0453,UrbanChic Gray Belt,Accessories,Belt,UrbanChic,Gray,S,Wool,32.97,15.96,Fall/Winter 2023,08/17/2023,453,,,452
P0618,UrbanChic Purple Tank,ACTIVEWEAR,Tank,UrbanChic,Purple,L,Denim,58.6,25.17,Fall/Winter 2023,2023-09-30,618,,check this,617
P0086,StyleCo Neon Pink Skirt,Bottoms,Skirt,StyleCo,Neon Pink,Large,Blend,52.9,22.12,Spring/Summer 2024,02/25/2024,86,,ok,85
P0438,StyleCo Blue Hat,Accessories,Hat,StyleCo,Blue,L,Wool,27.85,11.88,Spring/Summer 2024,2024-02-14,438,,pending,437
P0133,ClassicMode Gray Hat,Accessories,Hat,ClassicMode,Gray,L,Silk,22.37,9.68,Fall/Winter 2024,2024-08-31,133,,,132
P0719,StyleCo White Mini Dress  ,DRESSES,  Mini Dress ,StyleCo,White,S,null,57.43,26.45,Fall/Winter 2024,2024-08-20,719,,,718
P0010,UrbanChic Blue Skirt,Bottoms,Skirt,UrbanChic,Blue,XS,Wool,67.99,30.95,Spring/Summer 2024,2024-02-14,10,,pending,9
